ranking,score,title,number_of_episodes,emission_date,number_members,url
1,9.12,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Special (2 eps),Mar 2023 - 2023,"375,312 members",https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
2,9.11,Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,122,533 members",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
3,9.08,Bleach: Sennen Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,"412,941 members",https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
4,9.08,Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,403,124 members",https://myanimelist.net/anime/9253/Steins_Gate
5,9.07,Gintama°,TV (51 eps),Apr 2015 - Mar 2016,"584,593 members",https://myanimelist.net/anime/28977/Gintama°
6,9.06,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,"782,763 members",https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
7,9.06,Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,"2,058,572 members",https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
8,9.05,Gintama: The Final,Movie (1 eps),Jan 2021 - Jan 2021,"127,915 members",https://myanimelist.net/anime/39486/Gintama__The_Final
9,9.04,Gintama',TV (51 eps),Apr 2011 - Mar 2012,"515,965 members",https://myanimelist.net/anime/9969/Gintama
10,9.04,Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,"2,610,098 members",https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
11,9.03,Ginga Eiyuu Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,"300,957 members",https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
12,9.03,Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"304,423 members",https://myanimelist.net/anime/15417/Gintama__Enchousen
13,9.01,Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,"416,909 members",https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
14,8.99,Gintama.,TV (12 eps),Jan 2017 - Mar 2017,"292,714 members",https://myanimelist.net/anime/34096/Gintama
