ranking,score,title,number_of_episodes,emission_date,number_members,url
1,9.33,"""Oshi no Ko""",TV (11 eps),Apr 2023 -,"187,747 members",https://myanimelist.net/anime/52034/Oshi_no_Ko
2,9.11,Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,128,820 members",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
3,9.10,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Special (2 eps),Mar 2023 - 2023,"386,102 members",https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
4,9.08,Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,407,610 members",https://myanimelist.net/anime/9253/Steins_Gate
5,9.08,Bleach: Sennen Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,"416,835 members",https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
6,9.07,Gintama°,TV (51 eps),Apr 2015 - Mar 2016,"585,734 members",https://myanimelist.net/anime/28977/Gintama°
7,9.06,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,"787,102 members",https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
8,9.06,Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,"2,064,395 members",https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
9,9.05,Gintama: The Final,Movie (1 eps),Jan 2021 - Jan 2021,"128,519 members",https://myanimelist.net/anime/39486/Gintama__The_Final
10,9.04,Gintama',TV (51 eps),Apr 2011 - Mar 2012,"517,144 members",https://myanimelist.net/anime/9969/Gintama
11,9.04,Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,"2,616,339 members",https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
12,9.03,Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"304,943 members",https://myanimelist.net/anime/15417/Gintama__Enchousen
13,9.02,Ginga Eiyuu Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,"301,508 members",https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
14,9.01,Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,"418,774 members",https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
15,8.99,Gintama.,TV (12 eps),Jan 2017 - Mar 2017,"293,356 members",https://myanimelist.net/anime/34096/Gintama
16,8.94,3-gatsu no Lion 2nd Season,TV (22 eps),Oct 2017 - Mar 2018,"378,826 members",https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
17,8.94,Gintama,TV (201 eps),Apr 2006 - Mar 2010,"1,012,051 members",https://myanimelist.net/anime/918/Gintama
18,8.94,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie (1 eps),Dec 2022 - Dec 2022,"142,406 members",https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai
19,8.94,Koe no Katachi,Movie (1 eps),Sep 2016 - Sep 2016,"2,158,785 members",https://myanimelist.net/anime/28851/Koe_no_Katachi
20,8.93,Clannad: After Story,TV (24 eps),Oct 2008 - Mar 2009,"1,139,218 members",https://myanimelist.net/anime/4181/Clannad__After_Story
21,8.92,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps),Jul 2013 - Jul 2013,"226,300 members",https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
22,8.91,Code Geass: Hangyaku no Lelouch R2,TV (25 eps),Apr 2008 - Sep 2008,"1,679,488 members",https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
