ranking,score,title,url,studio,themes,genres,demographics,emission_type,number_episodes,members,first_emission,last_emission,year,month
1,9.12,Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,mappa,"['gore', 'military', 'survival']","['action', 'drama', 'suspense']",shounen,special,2.0,375312.0,2023-03-01,,2023.0,3.0
2,9.11,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,bones,['military'],"['action', 'adventure', 'drama', 'fantasy']",shounen,tv,64.0,3122533.0,2009-04-01,2010-07-01,2009.0,4.0
3,9.08,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,pierrot,['not_available'],"['action', 'adventure', 'fantasy']",shounen,tv,13.0,412941.0,2022-10-01,2022-12-01,2022.0,10.0
4,9.08,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,white_fox,"['psychological', 'time_travel']","['drama', 'sci_fi', 'suspense']",not_available,tv,24.0,2403124.0,2011-04-01,2011-09-01,2011.0,4.0
5,9.07,Gintama°,https://myanimelist.net/anime/28977/Gintama°,bandai_namco_pictures,"['gag_humor', 'historical', 'parody', 'samurai']","['action', 'comedy', 'sci_fi']",shounen,tv,51.0,584593.0,2015-04-01,2016-03-01,2015.0,4.0
6,9.06,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,a_1_pictures,['school'],"['comedy', 'romance']",seinen,tv,13.0,782763.0,2022-04-01,2022-06-01,2022.0,4.0
7,9.06,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,wit_studio,"['gore', 'military', 'survival']","['action', 'drama']",shounen,tv,10.0,2058572.0,2019-04-01,2019-07-01,2019.0,4.0
8,9.05,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,bandai_namco_pictures,"['gag_humor', 'historical', 'parody', 'samurai']","['action', 'comedy', 'drama', 'sci_fi']",shounen,movie,1.0,127915.0,2021-01-01,2021-01-01,2021.0,1.0
9,9.04,Gintama',https://myanimelist.net/anime/9969/Gintama,sunrise,"['gag_humor', 'historical', 'parody', 'samurai']","['action', 'comedy', 'sci_fi']",shounen,tv,51.0,515965.0,2011-04-01,2012-03-01,2011.0,4.0
10,9.04,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,madhouse,['not_available'],"['action', 'adventure', 'fantasy']",shounen,tv,148.0,2610098.0,2011-10-01,2014-09-01,2011.0,10.0
