id,themes,count
0,adult_cast,397
1,anthropomorphic,131
2,cgdct,198
3,childcare,50
4,combat_sports,78
5,crossdressing,29
6,delinquents,36
7,detective,247
8,educational,45
9,gag_humor,195
10,gore,148
11,harem,353
12,high_stakes_game,35
13,historical,872
14,idols__female_,233
15,idols__male_,109
16,isekai,249
17,iyashikei,172
18,love_polygon,70
19,magical_sex_shift,27
20,mahou_shoujo,235
21,martial_arts,414
22,mecha,1009
23,medical,32
24,military,557
25,music,1933
26,mythology,462
27,not_available,4359
28,organized_crime,50
29,otaku_culture,77
30,parody,498
31,performing_arts,91
32,pets,65
33,psychological,345
34,racing,127
35,reincarnation,77
36,reverse_harem,68
37,romantic_subtext,42
38,samurai,172
39,school,1582
40,showbiz,30
41,space,437
42,strategy_game,246
43,super_power,513
44,survival,76
45,team_sports,220
46,time_travel,112
47,vampire,138
48,video_game,114
49,visual_arts,73
50,workplace,126
